"id","numeroMesa","capacidad","local"
178,"M0178",140,274
179,"M0179",90,800
180,"M0180",90,18
181,"M0181",80,798
182,"M0182",145,275
183,"M0183",140,198
184,"M0184",140,300
185,"M0185",80,605
186,"M0186",95,128
187,"M0187",145,118
188,"M0188",130,193
189,"M0189",85,613
190,"M0190",125,452
191,"M0191",105,374
192,"M0192",90,173
193,"M0193",140,286
194,"M0194",145,642
195,"M0195",100,560
196,"M0196",110,574
197,"M0197",95,782
198,"M0198",90,424
199,"M0199",95,363
200,"M0200",115,375
201,"M0201",140,765
202,"M0202",145,752
203,"M0203",110,377
204,"M0204",125,218
205,"M0205",150,135
206,"M0206",150,23
207,"M0207",130,456
208,"M0208",135,556
209,"M0209",100,794
210,"M0210",95,574
211,"M0211",125,335
212,"M0212",130,719
213,"M0213",140,42
214,"M0214",95,200
215,"M0215",130,554
216,"M0216",95,796
217,"M0217",100,280
218,"M0218",85,776
219,"M0219",80,656
220,"M0220",125,321
221,"M0221",145,180
222,"M0222",130,389
223,"M0223",95,554
224,"M0224",115,107
225,"M0225",140,85
226,"M0226",90,641
227,"M0227",95,562
228,"M0228",80,406
229,"M0229",135,704
230,"M0230",105,323
231,"M0231",140,444
232,"M0232",100,636
233,"M0233",135,322
234,"M0234",100,397
235,"M0235",150,698
236,"M0236",135,269
237,"M0237",150,769
238,"M0238",110,622
239,"M0239",105,346
240,"M0240",145,163
241,"M0241",140,656
242,"M0242",80,485
243,"M0243",105,503
244,"M0244",105,62
245,"M0245",130,341
246,"M0246",100,390
247,"M0247",125,658
248,"M0248",80,235
249,"M0249",110,659
250,"M0250",105,9
251,"M0251",90,563
252,"M0252",115,55
253,"M0253",145,574
254,"M0254",110,40
255,"M0255",105,249
256,"M0256",135,2
257,"M0257",125,640
258,"M0258",105,524
259,"M0259",150,246
260,"M0260",100,771
261,"M0261",95,149
262,"M0262",150,180
263,"M0263",115,716
264,"M0264",145,762
265,"M0265",85,500
266,"M0266",150,224
267,"M0267",145,19
268,"M0268",105,684
269,"M0269",115,414
270,"M0270",120,756
271,"M0271",150,74
272,"M0272",115,665
273,"M0273",115,23
274,"M0274",140,469
275,"M0275",115,592
276,"M0276",85,250
277,"M0277",90,64
278,"M0278",115,602
279,"M0279",115,474
280,"M0280",130,294
281,"M0281",145,751
282,"M0282",90,265
283,"M0283",90,265
284,"M0284",110,726
285,"M0285",130,681
286,"M0286",120,451
287,"M0287",140,370
288,"M0288",95,374
289,"M0289",125,555
290,"M0290",140,30
291,"M0291",130,639
292,"M0292",125,736
293,"M0293",80,67
294,"M0294",110,165
295,"M0295",130,600
296,"M0296",105,504
297,"M0297",85,610
298,"M0298",105,60
299,"M0299",115,794
300,"M0300",110,482
301,"M0301",145,673
302,"M0302",130,699
303,"M0303",120,619
304,"M0304",115,6
305,"M0305",80,486
306,"M0306",100,65
307,"M0307",135,451
308,"M0308",140,311
309,"M0309",135,103
310,"M0310",80,319
311,"M0311",120,606
312,"M0312",95,200
313,"M0313",120,590
314,"M0314",105,27
315,"M0315",140,724
316,"M0316",145,543
317,"M0317",85,309
318,"M0318",100,58
319,"M0319",145,652
320,"M0320",95,41
321,"M0321",135,9
322,"M0322",125,281
323,"M0323",150,381
324,"M0324",90,82
325,"M0325",130,274
326,"M0326",95,264
327,"M0327",150,223
328,"M0328",90,121
329,"M0329",110,658
330,"M0330",110,88
331,"M0331",85,751
332,"M0332",135,648
333,"M0333",125,410
334,"M0334",135,20
335,"M0335",125,369
336,"M0336",125,122
337,"M0337",80,769
338,"M0338",140,10
339,"M0339",130,668
340,"M0340",95,566
341,"M0341",140,423
342,"M0342",125,14
343,"M0343",135,594
344,"M0344",120,228
345,"M0345",145,474
346,"M0346",80,463
347,"M0347",80,581
348,"M0348",110,89
349,"M0349",80,730
350,"M0350",130,543
351,"M0351",130,177
352,"M0352",115,621
353,"M0353",95,247
354,"M0354",95,218
355,"M0355",110,185
356,"M0356",105,190
357,"M0357",115,593
358,"M0358",115,287
359,"M0359",85,764
360,"M0360",80,338
361,"M0361",130,764
362,"M0362",130,779
363,"M0363",140,34
364,"M0364",125,251
365,"M0365",85,731
366,"M0366",120,660
367,"M0367",110,57
368,"M0368",85,597
369,"M0369",95,787
370,"M0370",90,177
371,"M0371",150,432
372,"M0372",150,470
373,"M0373",95,578
374,"M0374",80,538
375,"M0375",130,558
376,"M0376",140,109
377,"M0377",90,436
378,"M0378",110,76
379,"M0379",105,344
380,"M0380",140,619
381,"M0381",105,559
382,"M0382",145,616
383,"M0383",135,285
384,"M0384",135,214
385,"M0385",115,79
386,"M0386",125,122
387,"M0387",125,372
388,"M0388",110,358
389,"M0389",95,264
390,"M0390",135,748
391,"M0391",80,751
392,"M0392",120,332
393,"M0393",95,435
394,"M0394",100,148
395,"M0395",110,566
396,"M0396",140,461
397,"M0397",130,518
398,"M0398",150,691
399,"M0399",80,744
400,"M0400",80,250
401,"M0401",90,466
402,"M0402",145,478
403,"M0403",95,493
404,"M0404",100,728
405,"M0405",125,421
406,"M0406",110,498
407,"M0407",150,537
408,"M0408",150,100
409,"M0409",125,742
410,"M0410",145,695
411,"M0411",120,269
412,"M0412",95,767
413,"M0413",100,320
414,"M0414",110,725
415,"M0415",125,762
416,"M0416",80,653
417,"M0417",100,588
418,"M0418",115,695
419,"M0419",145,8
420,"M0420",80,306
421,"M0421",110,386
422,"M0422",145,552
423,"M0423",95,379
424,"M0424",135,210
425,"M0425",90,311
426,"M0426",110,445
427,"M0427",105,222
428,"M0428",130,369
429,"M0429",120,30
430,"M0430",140,259
431,"M0431",110,550
432,"M0432",95,224
433,"M0433",115,462
434,"M0434",145,45
435,"M0435",100,85
436,"M0436",90,662
437,"M0437",85,621
438,"M0438",125,660
439,"M0439",85,639
440,"M0440",90,745
441,"M0441",150,457
442,"M0442",115,330
443,"M0443",85,502
444,"M0444",115,542
445,"M0445",90,682
446,"M0446",125,3
447,"M0447",80,126
448,"M0448",85,237
449,"M0449",130,668
450,"M0450",130,18
451,"M0451",130,183
452,"M0452",145,65
453,"M0453",120,41
454,"M0454",105,197
455,"M0455",150,688
456,"M0456",85,450
457,"M0457",125,36
458,"M0458",135,226
459,"M0459",110,447
460,"M0460",140,364
461,"M0461",105,791
462,"M0462",125,519
463,"M0463",150,114
464,"M0464",110,189
465,"M0465",120,153
466,"M0466",120,326
467,"M0467",140,379
468,"M0468",120,368
469,"M0469",130,112
470,"M0470",120,18
471,"M0471",100,531
472,"M0472",95,368
473,"M0473",80,489
474,"M0474",80,601
475,"M0475",120,578
476,"M0476",80,684
477,"M0477",135,537
478,"M0478",110,351
479,"M0479",130,100
480,"M0480",80,476
481,"M0481",85,750
482,"M0482",120,401
483,"M0483",80,427
484,"M0484",100,33
485,"M0485",80,639
486,"M0486",135,152
487,"M0487",80,489
488,"M0488",105,193
489,"M0489",150,442
490,"M0490",85,343
491,"M0491",100,258
492,"M0492",105,703
493,"M0493",80,228
494,"M0494",80,147
495,"M0495",135,595
496,"M0496",125,424
497,"M0497",125,216
498,"M0498",125,382
499,"M0499",95,431
500,"M0500",125,596
