"id","nombre","direccion","distrito","capacidad","estado"
61,"Instituto Santa Rosa","Av. La Marina 9659","Chorrillos",3050,"Activo"
62,"Centro Educativo Víctor Raúl Haya de la Torre","Av. Angamos 4559","Ancón",2550,"Activo"
63,"Instituto Leoncio Prado","Av. Tomás Valle 9558","Villa María del Triunfo",4550,"Activo"
64,"Centro Educativo José Quiñones","Av. Arequipa 2724","Ate",700,"Activo"
65,"Universidad Daniel Alcides Carrión","Av. Arequipa 5154","Barranco",2400,"Activo"
66,"I.E. José Carlos Mariátegui","Av. La Marina 3708","Lurín",2950,"Activo"
67,"Instituto Alfonso Ugarte","Av. Tomás Valle 989","Villa María del Triunfo",1100,"Activo"
68,"Universidad Santa Rosa","Av. Wiesse 3684","Lurigancho",2750,"Activo"
69,"I.E. Daniel Alcides Carrión","Av. Próceres de la Independencia 8236","La Molina",1250,"Activo"
70,"I.E. Víctor Raúl Haya de la Torre","Av. Los Próceres 2860","Lurigancho",3850,"Activo"
71,"Instituto Miguel Grau","Av. Los Próceres 4197","San Miguel",1000,"Activo"
72,"Centro Educativo César Vallejo","Av. Túpac Amaru 5537","Santa Rosa",2950,"Activo"
73,"I.E. Víctor Raúl Haya de la Torre","Av. Javier Prado 978","Pucusana",1900,"Inactivo"
74,"Universidad Andrés Avelino Cáceres","Av. Wiesse 2333","La Victoria",5000,"Activo"
75,"Instituto Santa Rosa","Av. Próceres de la Independencia 1665","San Juan de Lurigancho",2250,"Activo"
76,"I.E. Alfonso Ugarte","Av. Angamos 4500","La Victoria",1350,"Activo"
77,"Centro Educativo Leoncio Prado","Av. Wiesse 357","La Victoria",3850,"Activo"
78,"Centro Educativo Alfonso Ugarte","Av. Los Próceres 6816","Lurigancho",2900,"Inactivo"
79,"Instituto Santa Rosa","Av. Aviación 6993","La Victoria",2650,"Activo"
80,"Centro Educativo María Reiche","Av. Abancay 2343","Chorrillos",850,"Activo"
81,"Centro Educativo Nuestra Señora de Guadalupe","Av. Brasil 3502","San Juan de Lurigancho",5000,"Activo"
82,"I.E. José Carlos Mariátegui","Av. Los Próceres 3126","Puente Piedra",2200,"Activo"
83,"Colegio José María Arguedas","Av. La Marina 3938","Villa María del Triunfo",4750,"Activo"
84,"Instituto Daniel Alcides Carrión","Av. Brasil 5658","Ate",1850,"Activo"
85,"Universidad Leoncio Prado","Av. La Marina 9026","Comas",1600,"Activo"
86,"Centro Educativo Daniel Alcides Carrión","Av. Benavides 2508","San Juan de Miraflores",2350,"Activo"
87,"Universidad Ricardo Palma","Av. Tomás Valle 9695","Jesús María",3550,"Activo"
88,"Centro Educativo Daniel Alcides Carrión","Av. Túpac Amaru 4770","Barranco",4900,"Activo"
89,"I.E. José María Arguedas","Av. Benavides 2623","Santa Rosa",1450,"Activo"
90,"Universidad Alfonso Ugarte","Av. Aviación 2590","San Juan de Miraflores",2600,"Activo"
91,"Centro Educativo José Olaya","Av. Próceres de la Independencia 3864","Lurigancho",1900,"Activo"
92,"Colegio María Reiche","Av. Los Alisos 7229","Lurigancho",3150,"Activo"
93,"Instituto José Quiñones","Av. Arequipa 1455","Santa Anita",3550,"Activo"
94,"Colegio Andrés Avelino Cáceres","Av. Los Alisos 928","Lurín",1750,"Activo"
95,"I.E. José Quiñones","Av. Túpac Amaru 6366","Villa María del Triunfo",3600,"Activo"
96,"Instituto Miguel Grau","Av. Los Alisos 488","Breña",600,"Activo"
97,"Colegio Alfonso Ugarte","Av. Javier Prado 2405","Chorrillos",1950,"Activo"
98,"Instituto José Gálvez","Av. Aviación 5321","Pucusana",1400,"Activo"
99,"Centro Educativo San Martín","Av. Benavides 9977","Breña",3700,"Activo"
100,"Colegio San Martín","Av. Aviación 7532","Ancón",550,"Activo"
101,"Instituto Túpac Amaru","Av. Túpac Amaru 4339","Barranco",2950,"Activo"
102,"Centro Educativo José Gálvez","Av. Los Próceres 8041","Pucusana",2250,"Activo"
103,"Universidad San Martín","Av. Abancay 2483","Lima",3650,"Activo"
104,"I.E. José Faustino Sánchez Carrión","Av. La Marina 494","San Martín de Porres",2050,"Activo"
105,"I.E. José Quiñones","Av. Universitaria 621","Ancón",4350,"Activo"
106,"I.E. José María Arguedas","Av. Abancay 7642","El Agustino",3650,"Activo"
107,"I.E. José Gálvez","Av. Los Próceres 2715","Pucusana",1050,"Activo"
108,"I.E. César Vallejo","Av. Abancay 3959","San Juan de Lurigancho",2600,"Activo"
109,"Centro Educativo Túpac Amaru","Av. Universitaria 6786","Santa María del Mar",2800,"Activo"
110,"Instituto Túpac Amaru","Av. Brasil 2261","Magdalena del Mar",3950,"Activo"
111,"Universidad Ricardo Palma","Av. Abancay 3374","Punta Negra",3700,"Activo"
112,"Centro Educativo José María Arguedas","Av. Próceres de la Independencia 9646","San Juan de Lurigancho",3600,"Activo"
113,"Colegio Abraham Valdelomar","Av. Túpac Amaru 4119","Santiago de Surco",4300,"Activo"
114,"Instituto Abraham Valdelomar","Av. Universitaria 3658","La Victoria",1400,"Activo"
115,"Instituto Santa Rosa","Av. Angamos 1749","Lurín",1700,"Activo"
116,"I.E. Túpac Amaru","Av. Javier Prado 9187","Magdalena del Mar",1800,"Activo"
117,"Universidad José Quiñones","Av. Abancay 9677","Lurín",1700,"Activo"
118,"Colegio Túpac Amaru","Av. Angamos 4348","El Agustino",2050,"Activo"
119,"Colegio José Olaya","Av. Tomás Valle 7451","Miraflores",3900,"Activo"
120,"I.E. San Martín","Av. Aviación 8569","San Luis",800,"Activo"
121,"Colegio Túpac Amaru","Av. Benavides 2957","San Isidro",3550,"Activo"
122,"Universidad Ricardo Palma","Av. Universitaria 9917","San Luis",4450,"Activo"
123,"Colegio César Vallejo","Av. Los Próceres 6770","Ancón",1700,"Activo"
124,"Centro Educativo José Olaya","Av. Túpac Amaru 3370","Villa María del Triunfo",3250,"Activo"
125,"Colegio José María Arguedas","Av. Brasil 5597","Miraflores",3650,"Activo"
126,"Centro Educativo Andrés Avelino Cáceres","Av. Tomás Valle 3272","Lurigancho",3900,"Activo"
127,"Universidad Andrés Avelino Cáceres","Av. Arequipa 2565","San Luis",2650,"Activo"
128,"Centro Educativo Miguel Grau","Av. Aviación 6569","Miraflores",1250,"Activo"
129,"Colegio Nuestra Señora de Guadalupe","Av. Tomás Valle 3829","Lurigancho",4450,"Activo"
130,"Universidad Leoncio Prado","Av. Benavides 9649","Cieneguilla",1800,"Activo"
131,"Instituto María Reiche","Av. Aviación 477","Chorrillos",2800,"Activo"
132,"Instituto Leoncio Prado","Av. Wiesse 6380","Punta Negra",4600,"Activo"
133,"Instituto Daniel Alcides Carrión","Av. Wiesse 4568","Punta Negra",850,"Activo"
134,"Centro Educativo Andrés Avelino Cáceres","Av. Abancay 8968","Independencia",2800,"Activo"
135,"Colegio José María Arguedas","Av. Benavides 3601","San Miguel",1700,"Inactivo"
136,"Centro Educativo María Reiche","Av. Los Próceres 6445","Punta Hermosa",1400,"Activo"
137,"Instituto José Faustino Sánchez Carrión","Av. Los Alisos 2439","Lurín",1100,"Activo"
138,"Centro Educativo San Martín","Av. Angamos 1084","Breña",2100,"Activo"
139,"Colegio César Vallejo","Av. Tomás Valle 5337","San Bartolo",2150,"Inactivo"
140,"I.E. Ricardo Palma","Av. Túpac Amaru 3875","Chaclacayo",2200,"Activo"
141,"Centro Educativo César Vallejo","Av. Angamos 9999","Ate",4700,"Activo"
142,"Instituto José María Arguedas","Av. Aviación 6128","Chaclacayo",500,"Activo"
143,"Instituto María Reiche","Av. Tomás Valle 1473","Lima",850,"Activo"
144,"Instituto José Quiñones","Av. Los Alisos 6401","Chaclacayo",1550,"Activo"
145,"Universidad Alfonso Ugarte","Av. Próceres de la Independencia 4214","Los Olivos",2300,"Activo"
146,"Universidad María Reiche","Av. Los Próceres 7533","San Luis",4750,"Activo"
147,"I.E. San Martín","Av. Tomás Valle 4559","San Miguel",4800,"Activo"
148,"Centro Educativo Miguel Grau","Av. La Marina 246","Santiago de Surco",3100,"Activo"
149,"Instituto Víctor Raúl Haya de la Torre","Av. Benavides 8723","La Molina",4250,"Activo"
150,"Universidad César Vallejo","Av. Abancay 7800","Lince",4900,"Activo"
151,"Centro Educativo San Martín","Av. Brasil 7185","Villa María del Triunfo",1150,"Activo"
152,"Universidad Santa Rosa","Av. Abancay 8476","Surquillo",3700,"Activo"
153,"Centro Educativo Andrés Avelino Cáceres","Av. Universitaria 3785","Santa María del Mar",2450,"Activo"
154,"Universidad Leoncio Prado","Av. Aviación 7736","Comas",1950,"Activo"
155,"Universidad Santa Rosa","Av. Túpac Amaru 2967","San Martín de Porres",4900,"Activo"
156,"Centro Educativo José Quiñones","Av. Javier Prado 5645","Punta Hermosa",4850,"Activo"
157,"Colegio César Vallejo","Av. Aviación 9085","Santa Rosa",1250,"Activo"
158,"Universidad Ricardo Palma","Av. Aviación 6564","Breña",1100,"Activo"
159,"Universidad José Quiñones","Av. Brasil 6607","Lima",1300,"Activo"
160,"Instituto María Reiche","Av. Wiesse 4677","San Bartolo",850,"Activo"
161,"Colegio Víctor Raúl Haya de la Torre","Av. Angamos 6601","Barranco",3400,"Activo"
162,"Colegio San Martín","Av. Angamos 6091","Villa El Salvador",600,"Inactivo"
163,"Instituto José María Arguedas","Av. Los Alisos 1764","Lince",2100,"Activo"
164,"Universidad Abraham Valdelomar","Av. Aviación 4036","Pucusana",2450,"Activo"
165,"Instituto Santa Rosa","Av. Aviación 1923","Santa María del Mar",1250,"Activo"
166,"Centro Educativo Leoncio Prado","Av. Abancay 9741","Chaclacayo",1500,"Activo"
167,"I.E. Alfonso Ugarte","Av. Angamos 1387","Jesús María",4150,"Activo"
168,"Centro Educativo Túpac Amaru","Av. Arequipa 3025","Puente Piedra",2250,"Activo"
169,"Instituto Santa Rosa","Av. Túpac Amaru 5820","San Miguel",850,"Activo"
170,"Centro Educativo Víctor Raúl Haya de la Torre","Av. Los Alisos 3235","San Martín de Porres",4250,"Activo"
171,"Colegio San Martín","Av. Angamos 9431","San Juan de Lurigancho",1950,"Activo"
172,"Colegio Nuestra Señora de Guadalupe","Av. Tomás Valle 9236","La Victoria",1200,"Activo"
173,"Colegio Daniel Alcides Carrión","Av. Aviación 5035","Santa María del Mar",4150,"Activo"
174,"I.E. Miguel Grau","Av. Arequipa 3053","Miraflores",1350,"Activo"
175,"I.E. Nuestra Señora de Guadalupe","Av. Brasil 1443","Ate",2700,"Activo"
176,"Universidad José Faustino Sánchez Carrión","Av. La Marina 7541","Villa El Salvador",4500,"Activo"
177,"Colegio Nuestra Señora de Guadalupe","Av. Arequipa 8944","San Juan de Miraflores",4700,"Activo"
178,"Centro Educativo José Olaya","Av. Próceres de la Independencia 5111","Chaclacayo",3400,"Activo"
179,"I.E. Nuestra Señora de Guadalupe","Av. Tomás Valle 2436","San Isidro",4200,"Activo"
180,"Colegio Alfonso Ugarte","Av. Tomás Valle 339","Jesús María",1150,"Activo"
181,"I.E. Nuestra Señora de Guadalupe","Av. Wiesse 4975","La Victoria",2650,"Activo"
182,"Centro Educativo Santa Rosa","Av. Aviación 6055","Punta Hermosa",4200,"Activo"
183,"Centro Educativo Víctor Raúl Haya de la Torre","Av. Brasil 7673","Jesús María",4700,"Activo"
184,"Instituto Miguel Grau","Av. Arequipa 7751","San Miguel",4800,"Activo"
185,"Colegio Ricardo Palma","Av. Tomás Valle 5877","Puente Piedra",5000,"Activo"
186,"Colegio Abraham Valdelomar","Av. Tomás Valle 1597","La Victoria",4450,"Activo"
187,"Colegio Santa Rosa","Av. Javier Prado 8069","Jesús María",2600,"Activo"
188,"Instituto San Martín","Av. Wiesse 7502","Pucusana",4150,"Activo"
189,"I.E. Miguel Grau","Av. Angamos 1949","Pucusana",4250,"Activo"
190,"Instituto José Carlos Mariátegui","Av. Los Próceres 5528","El Agustino",3750,"Activo"
191,"Centro Educativo José Faustino Sánchez Carrión","Av. Los Próceres 6722","Miraflores",4150,"Inactivo"
192,"Colegio Nuestra Señora de Guadalupe","Av. Angamos 8730","Santa Anita",1300,"Activo"
193,"Universidad José Carlos Mariátegui","Av. Arequipa 6857","Pucusana",700,"Activo"
194,"Centro Educativo Túpac Amaru","Av. Benavides 5013","San Juan de Lurigancho",4050,"Activo"
195,"I.E. Nuestra Señora de Guadalupe","Av. Universitaria 2752","Chaclacayo",3250,"Activo"
196,"Colegio José Gálvez","Av. Angamos 9945","Barranco",3200,"Activo"
197,"Universidad José Gálvez","Av. Universitaria 8751","Jesús María",4850,"Inactivo"
198,"Instituto Alfonso Ugarte","Av. Wiesse 7703","Pachacámac",1600,"Activo"
199,"Centro Educativo Ricardo Palma","Av. Aviación 8458","Ate",4850,"Activo"
200,"Universidad Daniel Alcides Carrión","Av. Abancay 6423","Chaclacayo",5000,"Inactivo"
201,"Instituto Miguel Grau","Av. Los Próceres 5730","Surquillo",4600,"Activo"
202,"Colegio Andrés Avelino Cáceres","Av. Tomás Valle 1757","San Miguel",3300,"Activo"
203,"Centro Educativo César Vallejo","Av. Universitaria 804","San Bartolo",3350,"Activo"
204,"Instituto Nuestra Señora de Guadalupe","Av. Angamos 7355","Independencia",4300,"Activo"
205,"Colegio Santa Rosa","Av. Benavides 4046","San Luis",2200,"Activo"
206,"Centro Educativo Santa Rosa","Av. Brasil 7521","Magdalena del Mar",4450,"Activo"
207,"I.E. José Gálvez","Av. Próceres de la Independencia 7031","Pachacámac",1600,"Activo"
208,"I.E. César Vallejo","Av. Angamos 2662","Santa Anita",1350,"Activo"
209,"Colegio Santa Rosa","Av. Aviación 5687","Ate",1950,"Activo"
210,"Instituto César Vallejo","Av. Abancay 8886","Comas",1050,"Activo"
211,"Universidad José María Arguedas","Av. Tomás Valle 7286","Santa Rosa",500,"Activo"
212,"Centro Educativo Leoncio Prado","Av. Abancay 1772","Carabayllo",1800,"Activo"
213,"I.E. José Carlos Mariátegui","Av. Los Alisos 3896","Ancón",2850,"Activo"
214,"Centro Educativo José Faustino Sánchez Carrión","Av. Javier Prado 5830","Pueblo Libre",1350,"Activo"
215,"Colegio Víctor Raúl Haya de la Torre","Av. La Marina 795","Villa María del Triunfo",1900,"Activo"
216,"Universidad José Quiñones","Av. Los Próceres 8948","Pueblo Libre",600,"Activo"
217,"Universidad José María Arguedas","Av. Brasil 4611","Lurigancho",2950,"Activo"
218,"Instituto José María Arguedas","Av. Abancay 4438","Pueblo Libre",700,"Activo"
219,"I.E. Nuestra Señora de Guadalupe","Av. Javier Prado 3216","San Juan de Miraflores",3850,"Activo"
220,"Centro Educativo Túpac Amaru","Av. Angamos 8072","San Martín de Porres",2050,"Activo"
221,"Universidad Andrés Avelino Cáceres","Av. Túpac Amaru 341","Magdalena del Mar",1650,"Activo"
222,"I.E. José María Arguedas","Av. Abancay 6978","Breña",2900,"Activo"
223,"Colegio José Carlos Mariátegui","Av. Próceres de la Independencia 7699","Barranco",4450,"Activo"
224,"Colegio Andrés Avelino Cáceres","Av. Aviación 4242","Ate",4950,"Activo"
225,"Instituto Leoncio Prado","Av. Los Alisos 5796","Chaclacayo",4250,"Activo"
226,"Centro Educativo César Vallejo","Av. La Marina 3937","Puente Piedra",1750,"Activo"
227,"Universidad María Reiche","Av. Abancay 5902","San Martín de Porres",1300,"Inactivo"
228,"Centro Educativo Alfonso Ugarte","Av. Abancay 5932","Cieneguilla",1550,"Activo"
229,"Instituto Víctor Raúl Haya de la Torre","Av. Tomás Valle 5787","Ancón",2050,"Inactivo"
230,"Instituto César Vallejo","Av. Brasil 3717","Punta Hermosa",4400,"Activo"
231,"Instituto José Gálvez","Av. Javier Prado 6992","Villa El Salvador",1650,"Activo"
232,"Colegio Víctor Raúl Haya de la Torre","Av. Abancay 7484","Chaclacayo",1800,"Activo"
233,"Colegio Leoncio Prado","Av. Túpac Amaru 8828","La Victoria",1500,"Activo"
234,"Instituto José Olaya","Av. Arequipa 4753","San Isidro",2700,"Activo"
235,"Universidad José Carlos Mariátegui","Av. Javier Prado 6433","Chaclacayo",4450,"Activo"
236,"Instituto José Gálvez","Av. Aviación 438","Santa Anita",4800,"Activo"
237,"Instituto Túpac Amaru","Av. Wiesse 4707","San Juan de Lurigancho",3400,"Activo"
238,"Colegio José María Arguedas","Av. Arequipa 485","Rímac",1100,"Activo"
239,"I.E. San Martín","Av. Brasil 5853","San Borja",4950,"Activo"
240,"I.E. José María Arguedas","Av. Javier Prado 1980","Lince",800,"Activo"
241,"Centro Educativo Ricardo Palma","Av. Wiesse 7629","Breña",4650,"Activo"
242,"Centro Educativo José Faustino Sánchez Carrión","Av. Los Próceres 796","Magdalena del Mar",850,"Activo"
243,"Colegio Andrés Avelino Cáceres","Av. Javier Prado 8043","Surquillo",4500,"Activo"
244,"Colegio Andrés Avelino Cáceres","Av. Abancay 8788","Ate",700,"Activo"
245,"Colegio Miguel Grau","Av. Universitaria 9727","Jesús María",1500,"Activo"
246,"I.E. José Olaya","Av. Wiesse 358","San Juan de Miraflores",4400,"Activo"
247,"I.E. José Gálvez","Av. Universitaria 9134","Jesús María",4000,"Activo"
248,"I.E. Abraham Valdelomar","Av. Próceres de la Independencia 9345","Cieneguilla",4800,"Activo"
249,"Universidad Andrés Avelino Cáceres","Av. Universitaria 5170","Santiago de Surco",1350,"Activo"
250,"Colegio Miguel Grau","Av. Abancay 500","Punta Negra",4450,"Activo"
251,"Instituto César Vallejo","Av. Universitaria 7658","Comas",2450,"Activo"
252,"Universidad José Gálvez","Av. Javier Prado 6905","San Juan de Lurigancho",3800,"Activo"
253,"I.E. José Gálvez","Av. Túpac Amaru 2783","Punta Hermosa",950,"Activo"
254,"Universidad José Carlos Mariátegui","Av. Javier Prado 8665","Santa María del Mar",1300,"Activo"
255,"Centro Educativo César Vallejo","Av. Brasil 5952","Rímac",2950,"Activo"
256,"Colegio José Quiñones","Av. Abancay 4624","Punta Negra",3050,"Activo"
257,"Instituto José Carlos Mariátegui","Av. Wiesse 361","Comas",3350,"Activo"
258,"Colegio Abraham Valdelomar","Av. Javier Prado 2440","San Borja",1050,"Activo"
259,"Colegio Miguel Grau","Av. Abancay 8054","Lince",3400,"Activo"
260,"I.E. Miguel Grau","Av. Angamos 1016","Carabayllo",1850,"Activo"
261,"Universidad María Reiche","Av. Angamos 3111","Villa María del Triunfo",2500,"Activo"
262,"Universidad José Faustino Sánchez Carrión","Av. Los Próceres 419","Ate",4100,"Activo"
263,"I.E. José Olaya","Av. Tomás Valle 1924","La Molina",2650,"Inactivo"
264,"I.E. José Carlos Mariátegui","Av. Abancay 3418","Independencia",4450,"Activo"
265,"Universidad Ricardo Palma","Av. Próceres de la Independencia 2683","Santa Anita",4750,"Inactivo"
266,"Universidad Alfonso Ugarte","Av. Tomás Valle 1106","Puente Piedra",850,"Activo"
267,"Instituto José Gálvez","Av. Benavides 6284","Pachacámac",2400,"Activo"
268,"Centro Educativo Andrés Avelino Cáceres","Av. Los Próceres 2722","Carabayllo",1750,"Activo"
269,"Colegio José Carlos Mariátegui","Av. Brasil 1978","San Juan de Lurigancho",1150,"Activo"
270,"Instituto José Carlos Mariátegui","Av. Brasil 449","Rímac",1800,"Activo"
271,"Colegio Miguel Grau","Av. Benavides 8501","Puente Piedra",3000,"Activo"
272,"I.E. San Martín","Av. Wiesse 7715","Lurigancho",3150,"Inactivo"
273,"Universidad Andrés Avelino Cáceres","Av. Los Próceres 3227","Carabayllo",5000,"Activo"
274,"I.E. Daniel Alcides Carrión","Av. Túpac Amaru 1151","Rímac",2150,"Activo"
275,"I.E. César Vallejo","Av. Aviación 6150","Pueblo Libre",2150,"Activo"
276,"Centro Educativo Miguel Grau","Av. Próceres de la Independencia 1187","San Bartolo",2500,"Activo"
277,"Colegio José Quiñones","Av. Javier Prado 6495","Santa María del Mar",3500,"Activo"
278,"Colegio Nuestra Señora de Guadalupe","Av. Benavides 3818","Ancón",4600,"Activo"
279,"Instituto Víctor Raúl Haya de la Torre","Av. Túpac Amaru 3506","Ate",1100,"Activo"
280,"Colegio José Gálvez","Av. Angamos 8001","Miraflores",1200,"Activo"
281,"I.E. José Gálvez","Av. Túpac Amaru 2316","Punta Negra",4850,"Inactivo"
282,"Colegio Nuestra Señora de Guadalupe","Av. Universitaria 6990","Santiago de Surco",2400,"Activo"
283,"I.E. José Carlos Mariátegui","Av. Wiesse 8481","Carabayllo",2050,"Activo"
284,"Centro Educativo Túpac Amaru","Av. Brasil 8899","Los Olivos",2950,"Activo"
285,"Colegio Miguel Grau","Av. Universitaria 911","Independencia",1750,"Activo"
286,"Instituto Abraham Valdelomar","Av. Los Alisos 5207","Jesús María",1600,"Activo"
287,"I.E. César Vallejo","Av. Tomás Valle 5800","Magdalena del Mar",4900,"Activo"
288,"Centro Educativo Andrés Avelino Cáceres","Av. La Marina 7112","Villa María del Triunfo",4950,"Activo"
289,"I.E. José Gálvez","Av. Benavides 3071","Lurigancho",4050,"Activo"
290,"Colegio Alfonso Ugarte","Av. Abancay 144","Barranco",550,"Activo"
291,"Centro Educativo Leoncio Prado","Av. Brasil 9904","Magdalena del Mar",950,"Activo"
292,"I.E. José Carlos Mariátegui","Av. Próceres de la Independencia 8489","Magdalena del Mar",2750,"Activo"
293,"Colegio Miguel Grau","Av. Próceres de la Independencia 7760","Santiago de Surco",1500,"Activo"
294,"Instituto María Reiche","Av. Brasil 4820","Pucusana",2100,"Activo"
295,"Colegio José Carlos Mariátegui","Av. Abancay 3950","Santa Anita",4450,"Inactivo"
296,"Instituto José Quiñones","Av. Tomás Valle 7441","Santiago de Surco",4250,"Activo"
297,"Colegio Miguel Grau","Av. Benavides 9639","Lurigancho",2900,"Activo"
298,"Centro Educativo Alfonso Ugarte","Av. Abancay 2561","Breña",1950,"Activo"
299,"I.E. Ricardo Palma","Av. Brasil 2958","Ate",4900,"Activo"
300,"Colegio Daniel Alcides Carrión","Av. Benavides 836","Punta Hermosa",800,"Activo"
301,"I.E. Víctor Raúl Haya de la Torre","Av. La Marina 2365","Puente Piedra",4100,"Activo"
302,"Colegio Alfonso Ugarte","Av. La Marina 1259","Los Olivos",3800,"Activo"
303,"Centro Educativo Santa Rosa","Av. Universitaria 1529","Chaclacayo",4000,"Activo"
304,"Instituto José Olaya","Av. Abancay 5282","La Victoria",850,"Activo"
305,"Colegio José Gálvez","Av. Wiesse 2504","Lima",1250,"Activo"
